banco;comercio;tipo;descuento;descuento_pct;tope;dias;horario;lugares;tarjetas;modalidad;region;vigencia;url;condiciones
BCI;Marriott;Akun Bar - Las Condes desde las 16.00 hrs;50% dcto · Todos los viernes;50;$100.000;Viernes;Akun Bar - Las Condes desde las 16.00 hrs;Marriott, Las Condes;Exclusivo con tus Tarjetas de Crédito Bci Mastercard Black, Visa Signature y Visa Infinite;Presencial;Región Metropolitana;2026-08-01 → 2026-10-01;https://www.bci.cl/beneficios/beneficios-bci/detalle/viernes-las-condes-desde-las-16.00-hrs-otl0ys8;50% de descuento con tope de $100.000 y una cortesía de regalo al momento de pagar en el comercio.  / Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra. / Descuento no aplica sobre el costo de propina. /  No acumulable con otras promociones y/o descuentos.  / Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci. /  / Legal: 50% de descuento en el total de la cuenta, con tope de $100.000, pagando con tus Tarjetas de Crédito Bci Mastercard Black, Visa Signature y Visa Infinte. Promoción incluye una cortesía de regalo. Válido solo para compras presenciales, no se consideran las compras a través de otros canales. Para hacer efectivo el descuento, debes solicitarlo al momento de pedir la cuenta. Este beneficio se podrá utilizar solo una vez al día y no es acumulable con otras promociones y/o descuentos. Descuento no aplica sobre el costo de propina. El beneficio se aplica de manera presencial según la disponibilidad de cada comercio. Los precios, calidad, estado y entrega de los productos y servicios ofrecidos son de exclusiva responsabilidad de los comercios adheridos, sin responsabilidad alguna de Bci en ello ni en la ulterior atención que se demande. Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta MACH y Lider Bci.
BCI;Marriott;AC Kitchen - Hotel Santiago Cenco Costanera;40% dcto · Todos los jueves;40;$100.000;Jueves, Viernes;;Marriott, Metropolitana;Exclusivo con tus Tarjetas de Crédito Bci.;Presencial;Región Metropolitana;2026-08-01 → 2026-10-01;https://www.bci.cl/beneficios/beneficios-bci/detalle/ac-kitchen-hotel-santiago-cenco-costanera-x32q24n;40% de descuento con tope de $100.000 pagando con tus Tarjetas de Crédito Bci.  / Pagando con tu Tarjeta de Crédito Bci Mastercard Balck, Visa Signature y Visa Infinte tendrás una cortesía de regalo. / Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra. / Descuento no aplica sobre el costo de propina. / No acumulable con otras promociones y/o descuentos.  / Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci. /  / Legal: 40% de descuento en el total de la cuenta, con tope de $100.000 pagando con Tarjetas de Crédito Bci. Promoción incluye una cortesía de regalo pagando con tu Tarjetas de Crédito Bci Mastercard Black, Visa Signature y Visa Infinte. Válido solo para compras presenciales, no se consideran las compras a través de otros canales. Para hacer efectivo el descuento, debes solicitarlo al momento de pedir la cuenta. Este beneficio se podrá utilizar solo una vez al día y no es acumulable con otras promociones y/o descuentos. Descuento no aplica sobre el costo de propina. El beneficio se aplica de manera presencial según la disponibilidad de cada comercio. Los precios, calidad, estado y entrega de los productos y servicios ofrecidos son de exclusiva responsabilidad de los comercios adheridos, sin responsabilidad alguna de Bci en ello ni en la ulterior atención que se demande. Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta  MACH y Lider Bci.
BCI;Güeros;Auténtica cocina mexicana para disfrutar;40% dcto · Todos los viernes;40;$40.000;Jueves, Viernes;;Güeros, Providencia;Exclusivo con tus tarjetas de Crédito Bci.;Presencial;Región Metropolitana;2026-08-01 → 2026-10-01;https://www.instagram.com/guerosterrazas/;40% de descuento con tope de $40.000 al momento de pagar en el comercio.  / Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra. / Descuento no aplica sobre el costo de propina. / No acumulable con otras promociones y/o descuentos.  / Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci. /  / Legal: 40% de descuento en el total de la cuenta, con tope de $40.000 pagando con Tarjetas de Crédito Bci. Válido solo para compras presenciales, no se consideran las compras a través de otros canales. Para hacer efectivo el descuento, debes solicitarlo al momento de pedir la cuenta. Este beneficio se podrá utilizar solo una vez al día y no es acumulable con otras promociones y/o descuentos. Descuento no aplica sobre el costo de propina. El beneficio se aplica de manera presencial según la disponibilidad de cada comercio. Los precios, calidad, estado y entrega de los productos y servicios ofrecidos son de exclusiva responsabilidad de los comercios adheridos, sin responsabilidad alguna de Bci en ello ni en la ulterior atención que se demande. Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta  MACH y Lider Bci.
BCI;App McDonalds;En tu App de McDonalds;40% dcto · Todos los martes;40;Sin tope;Martes;;;Exclusivo con tus Tarjetas de Crédito o Débito Bci.;Online;;2026-01-01 → 2027-01-01;https://www.mcdonalds.com/us/es-us/download-app.html;40% de descuento sin tope todos los martes en la App McDonald’s, con una compra mínimas de $12.000, pagando con Tarjetas de Crédito Bci, MACHBANK y Lider Bci por la App de McDonald's, y 20% de descuento sin tope todos los martes en la App McDonald´s, con una compra mínima de $12.000, pagando con Tarjetas de Débito Bci, MACHBANK y Tarjeta Prepago MACHBANK. Aplica en pedidos a través de la App para retiro en Locales, consumo en Locales y Delivery propio de McDonald's. No acumulable con otras ofertas, descuentos y/o promociones. /  / Legal: Descuento sobre el total de la compra, en compras mínimas de $12.000, pagando con Tarjetas de crédito Bci, MACHBANK y Lider Bci y Tarjetas de Débito Bci, MACHBANK y Tarjeta Prepago MACHBANK a través de la App McDonald's con tarjeta enrolada en la App para aplicar descuento. Aplica para pedidos a través de la App para retiro en Locales, consumo en Locales y pedidos por Delivery propio de McDonald's. Promoción válida solo para clientes personas naturales. No acumulable con otras ofertas, descuentos y/o promociones. La entrega de los bienes y la prestación de servicios no bancarios ofrecidos, como asimismo los descuentos en el comercio, son de exclusiva responsabilidad de McDonald's, no cabiéndole al Banco intervención alguna en su entrega o en la ulterior atención que ellos demanden. Infórmese sobre la garantía estatal de los depósitos en su banco o en www.sbif.cl en su entrega o en la ulterior atención que ellos demanden.
BCI;Jeró Bistró;;40% dcto · Todos los viernes;40;$40.000;Viernes;;Jeró Bistró, Maitencillo;Exclusivo con tus tarjetas de Crédito Bci.;Presencial;;2026-08-01 → 2026-10-01;https://www.jerobistrodemar.cl/;40% de descuento con tope de $40.000 pagando con tus Tarjetas de Crédito Bci.  / Pagando con tu Tarjeta de Crédito Bci Mastercard Balck, Visa Signature y Visa Infinte tendrás una cortesía de regalo. / Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra. / Descuento no aplica sobre el costo de propina. / No acumulable con otras promociones y/o descuentos.  / Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci. /  / Legal: 40% de descuento en el total de la cuenta, con tope de $40.000 pagando con Tarjetas de Crédito Bci. Promoción incluye una cortesía de regalo pagando con tu Tarjetas de Crédito Bci Mastercard Black, Visa Signature y Visa Infinte. Válido solo para compras presenciales, no se consideran las compras a través de otros canales. Para hacer efectivo el descuento, debes solicitarlo al momento de pedir la cuenta. Este beneficio se podrá utilizar solo una vez al día y no es acumulable con otras promociones y/o descuentos. Descuento no aplica sobre el costo de propina. El beneficio se aplica de manera presencial según la disponibilidad de cada comercio. Los precios, calidad, estado y entrega de los productos y servicios ofrecidos son de exclusiva responsabilidad de los comercios adheridos, sin responsabilidad alguna de Bci en ello ni en la ulterior atención que se demande. Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta  MACH y Lider Bci.
BCI;Jeró Bistró;;20% dcto · Todos los viernes;20;$40.000;Viernes;;Jeró Bistró, Maitencillo;Exclusivo con tus tarjetas de Crédito o Débito Bci.;Presencial;;2026-08-01 → 2026-10-01;https://www.jerobistrodemar.cl/;20% de descuento con tope de $40.000 por cliente al día. / Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra. / Descuento no aplica sobre el costo de propina. / No acumulable con otras promociones y/o descuentos.  / Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci. /  / Legal: 20% de descuento pagando con Tarjetas de Débito y Crédito Bci, con un tope de $40.000 por cliente al día. Válido solo para compras presenciales, no se consideran las compras a través de otros canales. Para hacer efectivo el descuento, debes solicitarlo al momento de pedir la cuenta. Este beneficio se podrá utilizar solo una vez al día y no es acumulable con otras promociones y/o descuentos. Descuento no aplica sobre el costo de propina. El beneficio se aplica de manera presencial según la disponibilidad de cada comercio. Los precios, calidad, estado y entrega de los productos y servicios ofrecidos son de exclusiva responsabilidad de los comercios adheridos, sin responsabilidad alguna de Bci en ello ni en la ulterior atención que se demande. Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta MACH y Lider Bci.
BCI;Sushi & Burger Home;Vina del Mar - Renaca;40% dcto · Todos los jueves;40;$40.000;Jueves;;Sushi & Burger Home, Viña del mar;Exclusivo con tus tarjetas de Crédito Bci.;Presencial;;2026-08-01 → 2026-10-01;https://www.sushiburgerhome.cl/;40% de descuento con tope de $40.000 al momento de pagar en el comercio.  / Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra. / Descuento no aplica sobre el costo de propina. / No acumulable con otras promociones y/o descuentos.  / Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci. /  / Legal: 40% de descuento en el total de la cuenta, con tope de $40.000 pagando con Tarjetas de Crédito Bci. Válido solo para compras presenciales, no se consideran las compras a través de otros canales. Para hacer efectivo el descuento, debes solicitarlo al momento de pedir la cuenta. Este beneficio se podrá utilizar solo una vez al día y no es acumulable con otras promociones y/o descuentos. Descuento no aplica sobre el costo de propina. El beneficio se aplica de manera presencial según la disponibilidad de cada comercio. Los precios, calidad, estado y entrega de los productos y servicios ofrecidos son de exclusiva responsabilidad de los comercios adheridos, sin responsabilidad alguna de Bci en ello ni en la ulterior atención que se demande. Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta  MACH y Lider Bci.
BCI;KFC;Combo Chicken Share Mixto;30% dcto · Todos los lunes;30;;Lunes;;;Exclusivo con tus tarjetas de Crédito o Débito Bci.;Presencial;;2026-01-01 → 2027-01-01;https://www.kentucky.cl/;Promoción valida todos los lunes en todas las tiendas KFC Chile hasta el 31 de diciembre 2026. Incluye 30% dcto en el producto Combo Chicken Share Mixto (4 Strips, 4 Alitas, 2 Papas y 2 Bebidas Regulares), pagando con tarjetas de Débito o Crédito Banco BCI. Para hacer valido el beneficio se debe solicitar el descuento antes de pagar. Imágenes referenciales igual a la especificación del contenido. El valor de este producto puede variar por tienda y/o región. No acumulable con otras promociones y/o descuentos. /  / Legal: Promoción valida todos los lunes en todas las tiendas KFC Chile hasta el 31 de diciembre 2026. Incluye 30% dcto en el producto Combo Chicken Share Mixto (4 Strips, 4 Alitas, 2 Papas y 2 Bebidas Regulares), pagando con tarjetas de Débito o Crédito Banco BCI. Para hacer valido el beneficio se debe solicitar el descuento antes de pagar. Imágenes referenciales igual a la especificación del contenido. El valor de este producto puede variar por tienda y/o región. No acumulable con otras promociones y/o descuentos.
BCI;Coya;En el corazón de la ciudad;40% dcto · Todos los viernes;40;$40.000;Viernes;;Coya, Arica y Parinacota;Exclusivo con tus Tarjetas de Crédito Bci.;Presencial;Región Arica y Parinacota;2026-01-01 → 2026-10-01;https://www.instagram.com/coya.restaurant/?hl=en;40% de descuento con tope de $40.000 al momento de pagar en el comercio.  / Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra. / Descuento no aplica sobre el costo de propina. / No acumulable con otras promociones y/o descuentos.  / Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci. /  / Legal: 40% de descuento en el total de la cuenta, con tope de $40.000 pagando con Tarjetas de Crédito Bci. Válido solo para compras presenciales, no se consideran las compras a través de otros canales. Para hacer efectivo el descuento, debes solicitarlo al momento de pedir la cuenta. Este beneficio se podrá utilizar solo una vez al día y no es acumulable con otras promociones y/o descuentos. Descuento no aplica sobre el costo de propina. El beneficio se aplica de manera presencial según la disponibilidad de cada comercio. Los precios, calidad, estado y entrega de los productos y servicios ofrecidos son de exclusiva responsabilidad de los comercios adheridos, sin responsabilidad alguna de Bci en ello ni en la ulterior atención que se demande. Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta  MACH y Lider Bci.
BCI;China Wok;;30% dcto · Todos los miércoles;30;;Miércoles;;;Exclusivo con tus Tarjetas de Crédito o Débito Bci.;;;2026-01-01 → 2027-01-01;https://www.bci.cl/beneficios/beneficios-bci/detalle/todos-los-miercoles-en-combo-wok-1-pollo-tereyaki-kr43pym;30% de dcto todos los miércoles en tu combo Wok 1: Pollo Teriyaki (incluye una guarnición y bebida), en locales ChinaWok presencial, pagando con tus tarjetas de Débito o Crédito Bci.  Para hacer válido el beneficio se debe solicitar el descuento antes de pagar. /  / Legal: 30% de dcto todos los miércoles en tu combo Wok 1: Pollo Teriyaki (incluye una guarnición y bebida), en locales ChinaWok presencial, pagando con tus tarjetas de Débito o Crédito Bci.  Para hacer válido el beneficio se debe solicitar el descuento antes de pagar.
